Loading test module... 

 Iteration 267, time: 36020.000000

 Iteration 268, time: 36148.000000

 Iteration 269, time: 35904.000000

 Iteration 270, time: 36416.000000

 Iteration 271, time: 35860.000000

 Iteration 272, time: 36236.000000

 Iteration 273, time: 35984.000000

 Iteration 274, time: 36148.000000

 Iteration 275, time: 35912.000000

 Iteration 276, time: 35640.000000

 Iteration 277, time: 35888.000000

 Iteration 278, time: 35892.000000

 Iteration 279, time: 35892.000000

 Iteration 280, time: 35840.000000

 Iteration 281, time: 35928.000000

 Iteration 282, time: 36168.000000

 Iteration 283, time: 36004.000000

 Iteration 284, time: 36108.000000

 Iteration 285, time: 36044.000000

 Iteration 286, time: 35888.000000

 Iteration 287, time: 36140.000000

 Iteration 288, time: 36088.000000

 Iteration 289, time: 36064.000000

 Iteration 290, time: 36084.000000

 Iteration 291, time: 36296.000000

 Iteration 292, time: 36000.000000

 Iteration 293, time: 36164.000000

 Iteration 294, time: 36220.000000

 Iteration 295, time: 36312.000000

 Iteration 296, time: 36276.000000

 Iteration 297, time: 36156.000000

 Iteration 298, time: 36000.000000

 Iteration 299, time: 36232.000000

 Iteration 300, time: 36004.000000

 Iteration 301, time: 36028.000000

 Iteration 302, time: 36008.000000

 Iteration 303, time: 35972.000000

 Iteration 304, time: 36080.000000

 Iteration 305, time: 36104.000000

 Iteration 306, time: 35940.000000

 Iteration 307, time: 36264.000000

 Iteration 308, time: 35720.000000

 Iteration 309, time: 36140.000000

 Iteration 310, time: 35960.000000

 Iteration 311, time: 35948.000000

 Iteration 312, time: 36136.000000

 Iteration 313, time: 36180.000000

 Iteration 314, time: 36080.000000

 Iteration 315, time: 106320.000000

 Iteration 316, time: 35968.000000

 Iteration 317, time: 35816.000000

 Iteration 318, time: 36036.000000

 Iteration 319, time: 36196.000000

 Iteration 320, time: 36088.000000

 Iteration 321, time: 35824.000000

 Iteration 322, time: 35948.000000

 Iteration 323, time: 36316.000000

 Iteration 324, time: 36092.000000

 Iteration 325, time: 36164.000000

 Iteration 326, time: 36220.000000

 Iteration 327, time: 35896.000000

 Iteration 328, time: 36360.000000

 Iteration 329, time: 35848.000000

 Iteration 330, time: 35932.000000

 Iteration 331, time: 35916.000000

 Iteration 332, time: 35832.000000

 Iteration 333, time: 35928.000000

 Iteration 334, time: 36076.000000

 Iteration 335, time: 35784.000000

 Iteration 336, time: 35932.000000

 Iteration 337, time: 36104.000000

 Iteration 338, time: 35980.000000

 Iteration 339, time: 36004.000000

 Iteration 340, time: 35908.000000

 Iteration 341, time: 36284.000000

 Iteration 342, time: 35768.000000

 Iteration 343, time: 35972.000000

 Iteration 344, time: 36044.000000

 Iteration 345, time: 36192.000000

 Iteration 346, time: 36096.000000

 Iteration 347, time: 36208.000000

 Iteration 348, time: 36196.000000

 Iteration 349, time: 36016.000000

 Iteration 350, time: 36284.000000

 Iteration 351, time: 36052.000000

 Iteration 352, time: 35820.000000

 Iteration 353, time: 36044.000000

 Iteration 354, time: 35928.000000

 Iteration 355, time: 36232.000000

 Iteration 356, time: 35980.000000

 Iteration 357, time: 35900.000000

 Iteration 358, time: 36208.000000

 Iteration 359, time: 36048.000000

 Iteration 360, time: 36588.000000

 Iteration 361, time: 36056.000000

 Iteration 362, time: 36128.000000

 Iteration 363, time: 36208.000000

 Iteration 364, time: 35976.000000

 Iteration 365, time: 35804.000000

 Iteration 366, time: 35952.000000

 Iteration 367, time: 36532.000000

 Iteration 368, time: 36116.000000

 Iteration 369, time: 36068.000000

 Iteration 370, time: 35840.000000

 Iteration 371, time: 36024.000000

 Iteration 372, time: 36180.000000

 Iteration 373, time: 36100.000000

 Iteration 374, time: 35992.000000

 Iteration 375, time: 36192.000000

 Iteration 376, time: 35924.000000

 Iteration 377, time: 35992.000000

 Iteration 378, time: 10827712.000000

 Iteration 379, time: 158684.000000

 Iteration 380, time: 107040.000000

 Iteration 381, time: 109368.000000

 Iteration 382, time: 81020.000000

 Iteration 383, time: 76924.000000

 Iteration 384, time: 36176.000000

 Iteration 385, time: 38648.000000

 Iteration 386, time: 37000.000000

 Iteration 387, time: 36320.000000

 Iteration 388, time: 36200.000000

 Iteration 389, time: 36404.000000

 Iteration 390, time: 36132.000000

 Iteration 391, time: 36096.000000

 Iteration 392, time: 36232.000000

 Iteration 393, time: 35888.000000

 Iteration 394, time: 35972.000000

 Iteration 395, time: 35928.000000

 Iteration 396, time: 35880.000000

 Iteration 397, time: 36080.000000

 Iteration 398, time: 36056.000000

 Iteration 399, time: 35868.000000

 Iteration 400, time: 36096.000000

 Iteration 401, time: 35856.000000

 Iteration 402, time: 36344.000000

 Iteration 403, time: 36420.000000

 Iteration 404, time: 36216.000000

 Iteration 405, time: 35824.000000

 Iteration 406, time: 36156.000000

 Iteration 407, time: 35932.000000

 Iteration 408, time: 36108.000000

 Iteration 409, time: 36680.000000

 Iteration 410, time: 36100.000000

 Iteration 411, time: 36072.000000

 Iteration 412, time: 36216.000000

 Iteration 413, time: 35988.000000

 Iteration 414, time: 36192.000000

 Iteration 415, time: 36000.000000

 Iteration 416, time: 35908.000000

 Iteration 417, time: 35952.000000

 Iteration 418, time: 36004.000000

 Iteration 419, time: 35852.000000

 Iteration 420, time: 36052.000000

 Iteration 421, time: 35676.000000

 Iteration 422, time: 35868.000000

 Iteration 423, time: 36252.000000

 Iteration 424, time: 35892.000000

 Iteration 425, time: 36140.000000

 Iteration 426, time: 36296.000000

 Iteration 427, time: 36408.000000

 Iteration 428, time: 36424.000000

 Iteration 429, time: 36056.000000

 Iteration 430, time: 36028.000000

 Iteration 431, time: 36120.000000

 Iteration 432, time: 35900.000000

 Iteration 433, time: 36092.000000

 Iteration 434, time: 36168.000000

 Iteration 435, time: 36032.000000

 Iteration 436, time: 36508.000000

 Iteration 437, time: 36012.000000

 Iteration 438, time: 35908.000000

 Iteration 439, time: 35936.000000

 Iteration 440, time: 36076.000000

 Iteration 441, time: 36164.000000

 Iteration 442, time: 36168.000000

 Iteration 443, time: 36132.000000

 Iteration 444, time: 36120.000000

 Iteration 445, time: 35932.000000

 Iteration 446, time: 36076.000000

 Iteration 447, time: 36120.000000

 Iteration 448, time: 36236.000000

 Iteration 449, time: 36976.000000

 Iteration 450, time: 36640.000000

 Iteration 451, time: 36260.000000

 Iteration 452, time: 36380.000000

 Iteration 453, time: 36104.000000

 Iteration 454, time: 36584.000000

 Iteration 455, time: 35904.000000

 Iteration 456, time: 35964.000000

 Iteration 457, time: 36052.000000

 Iteration 458, time: 35908.000000

 Iteration 459, time: 36032.000000

 Iteration 460, time: 36140.000000

 Iteration 461, time: 35940.000000

 Iteration 462, time: 35824.000000

 Iteration 463, time: 35812.000000

 Iteration 464, time: 35988.000000

 Iteration 465, time: 36020.000000

 Iteration 466, time: 35904.000000

 Iteration 467, time: 35828.000000

 Iteration 468, time: 36132.000000

 Iteration 469, time: 36140.000000

 Iteration 470, time: 36200.000000

 Iteration 471, time: 36008.000000

 Iteration 472, time: 110936.000000

 Iteration 473, time: 36288.000000

 Iteration 474, time: 35972.000000

 Iteration 475, time: 36276.000000

 Iteration 476, time: 35988.000000

 Iteration 477, time: 36476.000000

 Iteration 478, time: 35980.000000

 Iteration 479, time: 35816.000000

 Iteration 480, time: 35904.000000

 Iteration 481, time: 36152.000000

 Iteration 482, time: 35896.000000

 Iteration 483, time: 36044.000000

 Iteration 484, time: 35880.000000

 Iteration 485, time: 36096.000000

 Iteration 486, time: 35928.000000

 Iteration 487, time: 36016.000000

 Iteration 488, time: 35828.000000

 Iteration 489, time: 36152.000000

 Iteration 490, time: 36236.000000

 Iteration 491, time: 36216.000000

 Iteration 492, time: 35996.000000

 Iteration 493, time: 36304.000000

 Iteration 494, time: 35912.000000

 Iteration 495, time: 36252.000000

 Iteration 496, time: 36136.000000

 Iteration 497, time: 36172.000000

 Iteration 498, time: 36020.000000

 Iteration 499, time: 35888.000000

 Iteration 500, time: 36128.000000

 Iteration 501, time: 35932.000000

 Iteration 502, time: 36124.000000

 Iteration 503, time: 44804.000000

 Iteration 504, time: 36716.000000

 Iteration 505, time: 37476.000000

 Iteration 506, time: 36420.000000

 Iteration 507, time: 36108.000000

 Iteration 508, time: 39056.000000

 Iteration 509, time: 35992.000000

 Iteration 510, time: 37296.000000

 Iteration 511, time: 36368.000000

 Iteration 512, time: 35932.000000

 Iteration 513, time: 35884.000000

 Iteration 514, time: 36052.000000

 Iteration 515, time: 36056.000000

 Iteration 516, time: 36136.000000

 Iteration 517, time: 36192.000000

 Iteration 518, time: 35792.000000

 Iteration 519, time: 35960.000000

 Iteration 520, time: 35948.000000

 Iteration 521, time: 35900.000000

 Iteration 522, time: 36032.000000

 Iteration 523, time: 37516.000000

 Iteration 524, time: 35984.000000

 Iteration 525, time: 36004.000000

 Iteration 526, time: 35932.000000

 Iteration 527, time: 36160.000000

 Iteration 528, time: 36088.000000

 Iteration 529, time: 35820.000000

 Iteration 530, time: 35896.000000

 Iteration 531, time: 36312.000000

 Iteration 532, time: 36668.000000

 Iteration 533, time: 36084.000000

 Iteration 534, time: 36104.000000

 Iteration 535, time: 257316.000000

 Iteration 536, time: 36032.000000

 Iteration 537, time: 36784.000000

 Iteration 538, time: 36048.000000

 Iteration 539, time: 35924.000000

 Iteration 540, time: 36416.000000

 Iteration 541, time: 36172.000000

 Iteration 542, time: 36136.000000

 Iteration 543, time: 35912.000000

 Iteration 544, time: 35980.000000

 Iteration 545, time: 36432.000000

 Iteration 546, time: 36032.000000

 Iteration 547, time: 35828.000000

 Iteration 548, time: 35892.000000

 Iteration 549, time: 35964.000000

 Iteration 550, time: 36428.000000

 Iteration 551, time: 35768.000000

 Iteration 552, time: 36076.000000

 Iteration 553, time: 36376.000000

 Iteration 554, time: 36100.000000

 Iteration 555, time: 36236.000000

 Iteration 556, time: 36184.000000

 Iteration 557, time: 36232.000000

 Iteration 558, time: 36064.000000

 Iteration 559, time: 36260.000000

 Iteration 560, time: 36280.000000

 Iteration 561, time: 36256.000000

 Iteration 562, time: 36412.000000

 Iteration 563, time: 36212.000000

 Iteration 564, time: 36196.000000

 Iteration 565, time: 36024.000000

